_object,Pos F1,Pos F2,Pos F3,Volume
"<PK:noesy_HSQC_SilB41_1ag.1.355: @(8.651, 2.615, 119.89)>",8.65089591566165,2.61483641420012,119.888150408172,10342097317.7161
"<PK:noesy_HSQC_SilB41_1ag.1.356: @(7.136, 8.646, 117.37)>",7.13629894113861,8.64560928833479,117.366635223273,7262011222.33517
"<PK:noesy_HSQC_SilB41_1ag.1.357: @(7.138, 7.141, 117.45)>",7.13769123554456,7.14088949556733,117.449116823076,240384796200.517
"<PK:noesy_HSQC_SilB41_1ag.1.358: @(7.137, 5.003, 117.4)>",7.13693832843583,5.00340255225573,117.403088386286,4054638364.76134
"<PK:noesy_HSQC_SilB41_1ag.1.359: @(7.143, 4.758, 117.46)>",7.14267244512932,4.75843780835397,117.459602164805,6184796991.74065
"<PK:noesy_HSQC_SilB41_1ag.1.360: @(7.137, 3.847, 117.42)>",7.13748804253402,3.84745356382887,117.41945210811,8421377105.31686
"<PK:noesy_HSQC_SilB41_1ag.1.361: @(7.14, 3.169, 117.46)>",7.14023388060065,3.1692260647757,117.456802985211,12126130462.4255
"<PK:noesy_HSQC_SilB41_1ag.1.362: @(7.137, 2.852, 117.4)>",7.13687597948027,2.85164839108002,117.40251290214,7002297165.11625
"<PK:noesy_HSQC_SilB41_1ag.1.363: @(7.149, 2.827, 117.49)>",7.14867111018006,2.82700793308082,117.492318284079,29919425290.1271
"<PK:noesy_HSQC_SilB41_1ag.1.364: @(7.141, 1.424, 117.45)>",7.14146123593692,1.4238535709291,117.445933644222,5386567629.24581
"<PK:noesy_HSQC_SilB41_1ag.1.365: @(7.133, 1.146, 117.43)>",7.13321800848615,1.14633200786279,117.433022827273,21070101035.2815
"<PK:noesy_HSQC_SilB41_1ag.1.366: @(7.142, 1.158, 117.41)>",7.14163884351948,1.15774518491823,117.407361793602,8859997932.64089
"<PK:noesy_HSQC_SilB41_1ag.1.367: @(7.136, -0.098, 117.53)>",7.13554926325865,-0.0981920337890889,117.526349060338,10430725501.7027
"<PK:noesy_HSQC_SilB41_1ag.1.368: @(7.611, 7.608, 105.18)>",7.61118907621791,7.60848684192419,105.177961312092,124269392709.052
"<PK:noesy_HSQC_SilB41_1ag.1.369: @(7.61, 3.903, 105.2)>",7.61036040643409,3.90280090295341,105.201602489064,7122024723.20601
"<PK:noesy_HSQC_SilB41_1ag.1.370: @(7.613, 3.382, 105.21)>",7.61315120530134,3.38207196246811,105.210326375742,9890399237.93629
"<PK:noesy_HSQC_SilB41_1ag.1.371: @(7.612, 2.938, 105.17)>",7.61197303360331,2.93824261207581,105.166344562355,17828619131.4862
"<PK:noesy_HSQC_SilB41_1ag.1.372: @(7.61, 2.821, 105.16)>",7.60970636340628,2.82082007199892,105.163661714977,7121246347.98713
"<PK:noesy_HSQC_SilB41_1ag.1.373: @(7.614, 1.586, 105.14)>",7.61361596584256,1.58565372069225,105.136509981765,3985262171.92379
"<PK:noesy_HSQC_SilB41_1ag.1.374: @(7.612, 1.257, 105.16)>",7.61222019380562,1.25652500799955,105.162862831797,11125293052.339
"<PK:noesy_HSQC_SilB41_1ag.1.375: @(7.611, 1.024, 105.19)>",7.61059464972131,1.02404995876926,105.190311057735,15927111133.6699
"<PK:noesy_HSQC_SilB41_1ag.1.376: @(7.611, -0.029, 105.19)>",7.61084454234796,-0.0294770632965013,105.186069564567,7588410280.82967
"<PK:noesy_HSQC_SilB41_1ag.1.377: @(8.871, 8.868, 120.12)>",8.87113863312082,8.86811547586874,120.122002354411,138452666789.723
"<PK:noesy_HSQC_SilB41_1ag.1.378: @(8.873, 4.338, 120.13)>",8.87265897886777,4.33848943104082,120.126599021158,17260018793.7989
"<PK:noesy_HSQC_SilB41_1ag.1.379: @(8.873, 4.14, 120.13)>",8.87317093582953,4.14030517572047,120.128394449335,42619810332.0614
"<PK:noesy_HSQC_SilB41_1ag.1.380: @(8.871, 3.945, 120.14)>",8.87093357709368,3.94452280390219,120.141047379381,11665408194.4767
"<PK:noesy_HSQC_SilB41_1ag.1.381: @(8.869, 3.457, 120.12)>",8.86876179654216,3.45725400180155,120.115875867555,18046798585.7878
"<PK:noesy_HSQC_SilB41_1ag.1.382: @(8.872, 3.035, 120.13)>",8.87225905130424,3.03484103122229,120.130904342622,4591371513.40936
"<PK:noesy_HSQC_SilB41_1ag.1.383: @(8.873, 2.435, 120.13)>",8.87297420127654,2.43530731828884,120.129054351548,3328101044.19488
"<PK:noesy_HSQC_SilB41_1ag.1.384: @(8.869, 1.082, 120.09)>",8.86899504622052,1.08224959676459,120.088728767042,5649290875.14514
"<PK:noesy_HSQC_SilB41_1ag.1.385: @(8.868, 0.427, 120.11)>",8.86802441457177,0.42689772377975,120.114232288952,5595376215.44329
"<PK:noesy_HSQC_SilB41_1ag.1.386: @(8.864, -0.02, 120.11)>",8.86443462998521,-0.0203582672904954,120.105073958071,5433281472.7476
"<PK:noesy_HSQC_SilB41_1ag.1.387: @(8.493, 8.492, 122.96)>",8.492996316307,8.49215774918198,122.956307070732,371017670583.443
"<PK:noesy_HSQC_SilB41_1ag.1.388: @(8.498, 4.431, 122.78)>",8.4984909732668,4.43089674762389,122.775104202682,39676120205.1338
"<PK:noesy_HSQC_SilB41_1ag.1.393: @(8.474, 8.473, 118.94)>",8.47432466713442,8.47284463494702,118.940782024274,80912895756.4297
